X,ID,Name,Age,Nationality,Overall,Potential,Club,Wage,PreferredFoot,InternationalReputation,WeakFoot,SkillMoves,BodyType,Position,JerseyNumber,Height,Weight,ST,CF,W,CAM,CM,OM,CDM,WB,CB,FB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle
6086,172411,Servando,34,Spain,69,69,C’çdizCF,5,Right,1,3,2,Normal,CB,3,71,165,55,51,51,51,56,54,64,62,68,64,54,36,75,66,50,38,43,52,62,57,67,67,69,58,54,68,86,79,73,35,90,60,48,41,38,62,63,69,65
6100,210560,DiogoCoelho,24,Portugal,69,74,CDNacional,5,Right,1,3,2,Normal,CB,4,72,183,47,44,44,44,48,47,60,60,68,62,41,27,70,56,27,39,32,31,48,54,63,62,55,65,56,46,88,61,78,21,56,69,30,30,49,52,69,70,67
6118,155524,R.Stearman,30,England,69,69,SheffieldUnited,6,Right,1,3,2,Normal,CB,19,75,168,48,46,45,47,52,47,63,58,68,61,34,33,68,63,30,38,32,33,53,57,50,47,57,66,50,50,74,66,77,43,75,67,28,36,37,50,70,68,67
6125,177285,R.Vincelot,32,France,69,69,CrawleyTown,5,Right,1,3,2,Normal,CB,20,70,157,64,63,62,63,65,63,67,65,67,65,56,59,71,65,48,60,43,45,66,64,60,59,69,69,69,65,90,85,78,59,75,64,66,66,58,65,62,66,64
6130,214408,I.Lichnovsky,24,Chile,69,77,CruzAzul,9,Right,1,4,2,Normal,CB,5,74,174,50,48,48,47,50,50,60,60,68,62,38,25,69,56,26,49,26,27,48,57,71,68,67,57,71,61,81,58,74,23,69,63,40,34,31,52,70,71,72
6135,199305,M.Wittek,29,Germany,69,69,1.FCHeidenheim1846,7,Right,1,2,2,Lean,CB,5,76,194,49,44,42,42,46,44,59,57,68,60,33,34,69,46,28,41,33,33,45,39,54,65,52,67,43,66,50,63,86,43,75,67,28,34,52,67,69,72,71
6144,235658,V.Nelsson,19,Denmark,69,81,FCNordsj’_lland,3,Right,1,3,2,Normal,CB,4,73,165,53,54,55,57,61,58,67,64,68,65,49,33,67,67,36,56,41,35,64,64,64,66,58,63,68,52,68,75,79,41,65,67,38,62,37,58,69,68,66
6154,227725,HugoBasto,25,Portugal,69,75,GDChaves,5,Right,1,3,2,Normal,CB,3,74,176,52,50,49,49,52,50,61,60,68,62,42,28,68,60,36,51,28,31,45,55,63,66,45,69,50,69,67,52,77,60,67,72,31,33,46,51,67,71,64
6164,231823,J.Hoogma,20,Netherlands,69,80,TSG1899Hoffenheim,10,Left,1,3,2,Lean,CB,24,75,179,48,49,49,51,58,52,68,62,68,64,28,23,58,69,30,45,37,33,71,70,67,65,63,68,60,47,54,67,76,24,68,71,32,34,35,63,67,72,69
6175,214930,Caro,25,Spain,69,75,AlbaceteBP,4,Right,1,3,2,Lean,CB,16,72,154,54,52,54,53,56,56,65,65,68,66,59,44,69,65,23,49,53,41,58,58,70,65,67,61,70,51,81,78,72,37,70,69,43,39,55,58,72,66,68
6192,199832,S.Neumann,27,Germany,69,71,MSVDuisburg,4,Left,1,3,2,Normal,CB,29,74,176,44,44,43,45,49,46,61,58,68,60,38,20,66,56,21,44,32,31,40,57,50,54,39,66,52,48,60,57,84,22,70,69,22,45,40,67,67,69,68
6194,208024,M.Wallace,25,Scotland,69,72,Millwall,6,Left,1,2,2,Normal,CB,25,74,165,47,47,45,48,54,49,63,58,67,60,25,21,70,59,21,48,26,24,56,58,49,59,50,62,56,43,72,78,82,20,65,65,42,40,34,59,67,70,65
6201,137114,M.Ciani,34,France,69,69,LAGalaxy,4,Right,2,3,2,Normal,CB,28,76,194,47,41,38,40,48,40,61,53,67,55,30,26,72,55,16,38,19,55,61,46,33,35,31,54,32,79,63,58,92,44,80,71,33,24,25,54,60,69,63
6210,3484,J.O'Shea,37,RepublicofIreland,69,69,Reading,10,Right,2,3,2,Normal,CB,4,75,185,46,46,45,48,53,47,63,56,68,58,53,29,72,60,32,46,51,35,57,60,29,32,49,63,54,49,57,30,77,23,64,71,32,55,47,69,72,70,68
6212,213404,P.Dawidowicz,23,Poland,69,80,HellasVerona,4,Right,1,4,2,Normal,CB,27,75,187,57,57,56,59,63,59,67,63,68,64,44,36,66,69,38,60,53,52,67,57,62,70,69,66,62,74,65,74,78,45,78,72,46,66,44,62,67,66,60
6226,237214,L.Abubakar,23,Ghana,69,75,ColumbusCrewSC,3,Right,1,2,2,Stocky,CB,17,72,181,45,44,45,47,54,48,65,60,68,61,34,31,63,71,28,41,33,26,64,50,55,68,55,58,51,37,79,68,83,29,76,71,24,39,38,49,64,69,64
6235,198560,CarlosRuiz,34,Spain,69,69,CDTenerife,5,Right,1,3,2,Normal,CB,14,72,176,59,57,56,57,61,57,66,62,68,64,45,46,73,66,49,50,48,47,65,63,62,65,65,65,73,67,81,77,78,57,72,64,50,52,53,66,68,67,61
6276,190634,G.Sauro,28,Argentina,69,71,ColumbusCrewSC,4,Right,1,3,2,Normal,CB,22,75,185,47,46,45,48,54,48,64,57,67,59,34,26,65,64,14,51,25,44,64,56,49,46,42,62,39,57,76,53,77,30,76,69,27,44,44,58,68,67,65
6280,207531,S.Thesker,27,Germany,69,70,HolsteinKiel,6,Left,1,3,2,Normal,CB,5,75,185,51,49,48,50,56,51,64,60,67,61,42,29,72,60,40,52,33,31,61,64,44,45,50,62,45,58,59,71,78,39,72,70,41,37,45,70,69,66,63
6288,223920,A.Avlonitis,28,Greece,69,69,SKSturmGraz,10,Right,1,3,2,Lean,CB,5,75,183,47,44,43,44,50,46,62,58,67,61,33,27,66,55,36,42,40,45,59,45,63,55,48,58,45,60,73,71,80,44,69,71,31,35,59,56,69,70,70
6297,222643,J.Silva,23,Mexico,69,74,CruzAzul,9,Right,1,2,2,Lean,CB,30,75,172,44,40,38,40,47,41,60,57,68,60,28,29,75,52,30,29,29,33,43,48,36,54,51,62,41,47,69,76,82,28,54,71,26,32,45,60,71,70,71
6314,223671,S.Posch,21,Austria,69,78,TSG1899Hoffenheim,10,Right,1,3,2,Lean,CB,38,74,168,42,40,38,40,47,41,60,57,67,61,25,23,66,58,28,28,26,24,42,44,54,55,42,64,58,42,72,63,71,25,57,71,29,32,38,65,70,75,73
6316,234679,P.Sandler,21,Netherlands,69,81,ManchesterCity,28,Right,1,3,2,Normal,CB,34,75,181,54,58,57,61,65,59,67,62,67,63,32,23,64,70,28,71,62,70,71,70,66,67,63,62,57,63,69,61,72,52,61,65,40,67,46,63,69,72,68
6317,242359,JorgeFernandes,21,Portugal,69,77,CDTondela,4,Right,1,2,2,Normal,CB,44,76,183,47,45,43,44,49,46,61,57,68,59,35,25,69,55,45,55,34,32,46,59,44,44,32,60,37,61,71,60,78,24,76,63,26,29,42,51,72,71,70
6318,181175,O.Mazuch,29,CzechRepublic,69,69,HullCity,13,Right,1,2,2,Normal,CB,3,74,194,45,42,41,42,47,44,60,56,68,59,37,25,65,54,22,35,27,22,50,49,54,62,48,61,42,55,71,51,83,25,80,70,26,35,42,54,66,70,65
6354,237247,Vin’_cius,28,Hungary,69,69,,0,Right,1,2,2,Normal,CB,3,72,168,47,43,42,41,44,43,58,56,67,61,19,32,71,42,28,33,22,21,35,51,68,72,59,72,57,44,58,66,78,21,71,62,31,28,42,64,68,74,69
6377,169158,J.Peters,31,Netherlands,69,69,WillemII,5,Left,1,3,2,Normal,CB,4,72,172,50,52,53,56,61,56,66,63,68,64,61,29,67,69,44,45,33,34,68,61,53,50,65,65,61,37,71,57,72,43,68,71,53,62,46,70,68,68,68
6384,229064,J.Rassoul,22,Senegal,69,76,SportingLokeren,6,Right,1,5,3,Normal,CB,20,74,176,55,56,56,57,58,57,64,62,67,63,43,26,65,60,27,65,37,33,56,68,68,78,68,66,53,68,69,65,82,57,78,64,38,51,38,71,65,67,61
6393,224715,N.Chernov,22,Russia,69,79,PFCCSKAMoscow,1,Right,1,1,2,Lean,CB,3,74,174,51,48,47,49,54,50,63,60,67,62,32,36,71,69,28,42,32,36,65,40,67,65,57,68,51,44,66,60,70,33,55,73,48,37,50,59,70,71,65
6422,168403,R.Schiavi,32,Italy,69,69,USSalernitana1919,3,Right,1,2,2,Normal,CB,21,72,161,43,40,39,39,44,40,58,57,68,60,43,19,72,47,48,30,43,49,26,48,34,62,46,63,45,55,77,61,77,35,80,69,24,40,54,69,68,68,68
6429,208597,H.Hermannsson,23,Iceland,69,74,Br’ÙndbyIF,10,Right,1,3,2,Normal,CB,6,75,179,43,45,45,49,55,48,65,58,68,60,22,17,67,62,24,51,25,22,60,61,54,57,61,63,52,32,79,67,77,19,74,64,23,51,31,63,71,69,67
6451,226523,F.Brorsson,22,Sweden,69,75,Malm’_FF,3,Right,1,2,2,Stocky,CB,31,73,179,46,46,47,48,51,49,62,58,67,60,37,20,61,54,34,53,39,27,52,55,55,74,60,64,56,47,87,56,83,33,82,74,28,44,33,65,64,65,58
6457,220636,FelipeMacedo,24,Brazil,69,75,PortimonenseSC,4,Right,1,2,2,Lean,CB,13,74,168,43,40,40,40,45,42,59,57,68,60,28,26,65,53,21,38,30,31,37,45,62,54,52,59,55,49,68,60,77,21,76,74,23,31,46,60,64,72,73
6460,236508,Adri’çnDi’©guez,22,Spain,69,77,DeportivoAlav’©s,9,Left,1,3,2,Lean,CB,26,74,152,46,46,48,46,50,50,61,63,67,65,59,23,64,60,35,44,28,32,39,59,62,62,57,63,50,45,75,62,68,27,61,68,33,32,41,55,72,73,70
6462,139229,C.Salcido,38,Mexico,69,69,Guadalajara,11,Right,2,3,2,Normal,CB,3,69,176,59,59,58,61,65,60,67,63,68,63,70,45,67,70,50,62,54,62,68,65,34,34,57,67,67,72,74,66,79,69,81,67,60,61,62,73,65,66,67
6465,228829,M.Roberts,27,England,69,71,BirminghamCity,12,Right,1,2,2,Normal,CB,4,76,179,44,42,41,43,49,44,62,57,68,60,23,21,74,51,23,33,24,29,56,64,52,62,41,68,51,33,82,62,80,20,65,67,25,32,34,52,66,67,66
6501,221413,R.Echeverr’_a,23,Chile,69,79,UniversidaddeChile,5,Right,1,3,3,Lean,CB,20,71,161,60,62,62,64,65,63,68,66,68,66,52,44,65,71,36,65,45,40,65,68,70,75,65,62,67,67,60,74,74,59,74,67,55,65,44,53,70,68,65
6505,213990,D.Monsalve,34,Colombia,69,69,PatriotasBoyac’çFC,1,Right,1,4,2,Lean,CB,2,74,181,45,43,41,43,47,42,59,55,68,58,23,25,75,60,23,39,27,22,32,48,48,48,42,63,44,38,55,52,82,18,64,74,40,35,37,60,70,67,66
6510,193510,D.Novaretti,33,Argentina,69,69,Quer’©taro,5,Left,1,3,2,Lean,CB,4,76,190,40,38,37,41,50,41,63,56,67,58,34,26,71,59,15,32,46,39,61,47,33,36,32,68,33,31,33,62,84,26,75,68,13,42,30,50,70,70,67
6511,223207,A.Lang,25,Hungary,69,71,,0,Right,1,3,2,Normal,CB,2,74,183,50,46,47,45,49,47,60,60,68,63,49,36,70,52,30,32,28,50,48,59,57,63,59,59,67,48,71,56,73,43,64,71,46,26,56,63,67,73,71
6526,202474,An’_balCapela,27,Portugal,69,71,Cosenza,2,Right,1,3,2,Normal,CB,4,74,185,42,40,40,42,47,43,59,55,67,58,40,19,72,53,21,36,43,45,41,53,41,47,53,65,60,38,89,59,90,24,76,66,24,39,48,59,60,67,64
6528,230378,EmidioHoffman,34,Brazil,69,69,Atl’©ticoMineiro,14,Right,1,3,2,Lean,CB,20,74,174,56,54,53,54,59,55,66,64,68,65,54,48,69,62,52,49,48,44,65,65,51,56,44,64,52,64,58,70,72,54,66,70,42,48,53,57,71,68,74
6531,211691,R.Weil,30,Germany,69,69,1.FCMagdeburg,7,Right,1,4,2,Normal,CB,17,72,179,53,55,55,57,60,58,65,64,67,64,59,38,62,68,28,56,26,32,56,65,62,55,62,66,67,58,90,70,79,39,70,68,39,58,63,68,64,66,66
6541,226798,M.Mart’_nez,25,Argentina,69,75,RacingClub,8,Right,1,3,3,Lean,CB,16,69,146,58,60,60,62,65,61,68,65,67,65,52,35,51,67,37,68,39,70,70,66,62,67,61,60,41,73,65,75,84,68,67,69,57,59,55,60,70,70,64
6565,215283,C’©sar,25,Brazil,69,72,SantaClara,3,Right,1,2,2,Normal,CB,12,76,183,48,44,44,44,48,46,60,58,67,60,49,28,70,53,36,50,35,32,45,52,48,44,43,59,40,57,50,55,86,39,73,66,31,30,40,59,68,70,71
6575,238837,M.Fern’çndez,29,Uruguay,69,70,AudaxItaliano,3,Right,1,3,2,Stocky,CB,3,71,174,45,43,42,44,50,45,62,58,67,61,30,20,71,59,29,37,30,32,56,48,58,57,51,66,68,40,70,64,75,25,58,71,39,32,37,58,71,71,62
6587,203256,WillianRocha,29,Brazil,69,69,NagoyaGrampus,4,Left,1,3,2,Normal,CB,36,73,183,54,54,55,55,58,56,64,62,68,62,65,31,70,57,41,67,49,41,57,60,40,56,66,66,57,70,60,62,81,50,80,68,40,60,53,69,64,68,65
6595,234747,P.SzymiÅÜski,24,Poland,69,77,Palermo,2,Right,1,3,2,Lean,CB,24,73,168,48,50,51,52,55,54,63,63,67,64,48,23,66,58,28,56,35,30,53,58,66,63,63,64,68,42,68,71,69,35,61,67,42,47,39,67,74,72,67
6624,156164,M.Cranie,31,England,68,68,SheffieldUnited,5,Right,1,3,2,Normal,CB,28,72,172,55,56,56,56,59,59,64,65,67,65,65,38,68,64,27,59,37,39,53,63,57,64,62,60,63,65,74,75,71,33,66,66,51,56,30,64,69,68,67
6641,245768,J.Lawrence,25,Wales,68,72,RSCAnderlecht,7,Left,1,3,2,Normal,CB,3,74,179,47,49,50,52,58,54,65,63,67,64,59,21,66,65,26,51,27,32,64,62,47,55,51,65,51,45,50,65,76,26,65,66,37,59,34,68,67,70,69
6648,225034,M.Somma,23,Italy,68,79,DeportivodeLaCoru’±a,4,Right,1,3,2,Normal,CB,12,72,170,48,49,50,50,54,53,62,62,66,64,53,24,68,58,37,57,36,24,53,57,68,63,59,61,64,51,76,68,72,39,63,63,24,50,20,61,68,70,70
6649,186122,B.Webster,31,England,68,68,Millwall,6,Right,1,3,2,Normal,CB,17,75,194,48,46,44,48,52,46,61,53,66,56,24,35,67,59,25,41,31,42,57,57,52,50,46,53,33,44,65,52,88,44,81,60,38,42,49,58,65,66,64
6664,230413,Mauri’_ioClerez,26,Brazil,68,68,Vit’_ria,5,Right,1,3,2,Normal,CB,19,74,179,54,53,54,54,55,55,62,61,66,62,58,40,69,65,44,56,53,56,54,51,64,56,59,60,55,59,62,58,76,47,57,59,48,49,47,61,80,68,66
6694,228887,T.Mróçela,27,Australia,68,70,PerthGlory,3,Right,1,3,2,Normal,CB,16,77,194,44,41,39,42,49,43,61,55,66,58,27,28,79,55,23,39,20,47,47,48,39,49,38,53,37,42,31,81,91,32,77,68,20,47,45,56,62,67,62
6719,146462,JorgeGarc’_a,34,Spain,68,68,CFRayoMajadahonda,3,Left,1,3,2,Normal,CB,5,72,174,47,44,42,43,48,43,58,55,66,58,42,34,74,51,29,33,37,49,45,45,33,54,48,60,56,60,66,50,72,36,68,71,38,47,56,49,69,67,65
6722,129566,P.McShane,32,RepublicofIreland,68,68,Reading,12,Right,1,3,2,Normal,CB,5,72,179,48,47,47,49,55,50,64,59,67,60,61,33,65,61,54,39,36,36,64,63,42,44,47,61,57,47,74,53,77,31,82,66,36,48,41,53,69,65,65
6729,182816,F.Harek,35,Algeria,68,68,N’ÂmesOlympique,5,Left,1,3,2,Lean,CB,21,69,143,48,50,52,53,58,55,65,63,66,63,68,28,65,61,43,51,64,54,63,62,50,48,52,56,73,45,68,63,63,41,74,71,46,57,40,59,72,68,65
6750,200741,T.Browning,24,England,68,73,Everton,23,Right,1,3,2,Normal,CB,35,71,168,50,50,51,49,52,53,61,62,66,64,52,25,64,64,33,46,28,17,45,65,68,72,53,64,55,48,67,59,74,35,62,64,41,27,43,52,67,70,66
6763,199464,L.Rose,26,Mauritius,68,69,FCLorient,4,Right,1,3,2,Normal,CB,14,73,194,53,53,55,54,57,57,64,65,67,65,59,38,67,62,31,60,41,36,56,60,68,67,65,64,60,55,71,78,75,39,71,66,35,46,36,63,65,68,67
6764,205096,B.Thoelke,26,Germany,68,71,FCAdmiraWackerM’_dling,5,Right,1,3,2,Normal,CB,5,75,185,48,46,45,46,51,48,61,57,67,58,37,24,70,58,34,55,28,29,50,60,50,41,37,65,41,57,61,56,86,29,68,61,29,35,43,60,67,70,64
6783,209194,S.Nachreiner,29,Germany,68,68,SSVJahnRegensburg,5,Right,1,3,2,Lean,CB,28,74,170,39,36,36,35,41,39,58,57,67,60,46,17,62,46,18,25,22,25,25,49,42,45,39,66,46,39,76,65,78,19,70,69,23,26,26,56,70,71,70
6789,207660,D.Wydra,24,Austria,68,71,FCErzgebirgeAue,3,Right,1,3,2,Normal,CB,25,73,187,59,60,60,61,63,61,67,65,66,66,54,49,54,71,48,56,50,60,66,67,72,68,71,68,63,65,70,72,76,61,75,65,50,54,57,56,62,67,69
6795,191532,YuYang,28,ChinaPR,68,68,BeijingSinoboGuoanFC,7,Right,1,3,2,Normal,CB,3,72,159,46,45,43,46,50,46,61,58,66,61,19,17,69,62,13,35,33,30,42,51,62,67,68,64,68,43,70,84,74,23,72,67,45,35,33,55,66,65,64
6812,156464,R.Wood,32,England,68,68,RotherhamUnited,12,Left,1,3,2,Normal,CB,6,75,181,46,44,42,45,52,45,61,57,66,59,41,35,70,53,26,37,22,26,43,55,30,31,28,62,45,45,69,75,79,24,68,67,40,53,40,64,68,68,67
6817,183601,P.Fabian,30,Germany,68,68,VfLBochum1848,7,Right,1,2,2,Normal,CB,19,76,203,42,40,40,40,47,43,61,58,67,60,40,23,70,56,27,35,38,29,45,58,32,66,38,62,36,40,35,63,83,15,66,63,15,30,47,51,66,73,68
6840,163640,B.Lambot,31,Belgium,68,68,KSVCercleBrugge,6,Right,1,4,2,Normal,CB,19,75,174,59,56,54,56,61,56,65,61,66,62,58,53,66,64,52,36,33,51,61,61,47,49,43,63,49,71,48,69,78,58,78,70,65,62,55,61,70,64,58
6852,198971,B.Kumordzi,33,Ghana,68,68,KVKortrijk,6,Right,1,3,2,Lean,CB,2,74,174,64,63,60,63,66,60,67,61,67,61,52,57,72,70,62,62,58,50,68,65,49,32,59,66,58,73,48,55,75,64,63,73,71,65,59,72,73,64,61
6864,225341,DavidGarc’_a,24,Spain,68,73,CAOsasuna,4,Right,1,3,2,Lean,CB,5,73,159,55,56,56,57,61,60,66,64,66,64,53,35,66,64,37,61,33,38,65,66,57,66,50,68,64,43,82,74,74,25,68,70,58,52,43,67,63,64,63
6881,230210,EderPinhan’_os,34,Brazil,68,68,Botafogo,8,Left,1,3,2,Normal,CB,12,70,165,40,39,40,40,46,42,60,59,67,62,52,28,58,49,22,24,35,45,45,48,41,61,60,60,71,43,75,55,60,22,66,77,25,43,51,54,82,67,70
6899,183365,N.Cherubin,31,Italy,68,68,HellasVerona,2,Left,1,2,2,Normal,CB,13,74,183,38,37,37,39,46,40,59,54,66,57,26,18,70,48,16,40,20,15,48,44,42,40,52,67,45,25,71,70,79,18,70,65,20,38,18,65,68,68,68
6907,193350,B.BaÅ™daÅ™,28,Turkey,68,68,Alanyaspor,6,Right,1,2,2,Normal,CB,22,74,174,46,43,42,43,48,44,60,56,67,59,28,30,71,59,19,38,36,38,44,45,57,62,45,65,41,50,69,58,73,32,75,65,26,35,43,52,69,70,65
6924,230221,Kau’£Zanson,34,Brazil,68,68,Fluminense,10,Right,1,3,2,Normal,CB,15,70,159,53,54,55,52,51,54,58,62,66,64,57,40,67,43,44,64,72,62,30,56,63,71,53,71,61,50,77,50,55,50,73,69,42,56,46,72,70,70,72
6937,242000,K.Mavropanos,20,Greece,68,83,Arsenal,21,Right,1,2,2,Normal,CB,27,76,194,44,41,41,41,46,44,58,56,66,59,37,30,66,47,30,41,32,37,48,42,52,60,55,57,39,45,67,64,79,26,65,62,30,37,42,53,70,74,72
6945,203859,L.Avelda’±o,32,Argentina,68,68,CDTenerife,4,Right,1,3,2,Normal,CB,19,73,181,57,54,50,54,58,52,64,59,67,60,36,49,71,63,27,33,25,28,58,61,54,57,52,63,43,71,73,75,82,43,78,66,53,58,59,62,64,66,58
6961,205655,A.MacDonald,25,England,68,73,HullCity,10,Right,1,3,2,Lean,CB,15,72,154,44,44,43,45,51,46,62,59,67,61,31,22,64,56,33,39,27,25,48,55,54,61,47,67,44,35,83,67,73,23,63,70,28,44,36,48,69,67,70
6965,196953,A.Nsiala,26,DRCongo,68,72,IpswichTown,4,Right,1,3,2,Normal,CB,22,76,183,49,44,45,42,46,48,58,60,67,63,54,27,65,42,43,37,33,31,44,44,79,78,61,55,43,73,81,80,92,30,82,67,34,37,43,53,62,67,66
7006,186721,C.Dielna,30,France,68,68,NewEnglandRevolution,3,Left,1,3,2,Stocky,CB,4,72,190,53,50,51,50,53,52,62,62,66,63,57,36,60,62,38,48,66,66,50,56,68,63,59,57,56,71,66,72,82,64,72,65,35,33,52,49,68,66,67
7008,203618,V.Sielis,28,Cyprus,68,68,GangwonFC,3,Left,1,3,2,Normal,CB,4,74,209,54,53,54,54,56,56,63,63,67,65,57,28,65,60,40,55,43,34,56,54,74,71,67,56,54,69,62,73,85,58,65,65,44,52,44,56,67,70,68
7050,190826,M.Hornschuh,27,Germany,68,70,FCSt.Pauli,7,Right,1,3,2,Lean,CB,16,74,181,52,53,55,55,59,57,64,64,66,64,62,36,71,66,35,57,43,33,61,63,52,60,55,66,45,42,77,64,69,46,59,66,40,54,40,63,67,68,66
7053,188779,L.DeVere,28,Australia,68,68,BrisbaneRoar,3,Right,1,3,2,Stocky,CB,3,73,194,49,47,45,48,53,46,62,56,66,58,32,35,59,63,31,32,21,36,54,56,46,59,50,58,45,56,74,54,92,44,65,68,35,50,47,66,62,68,63
7055,192363,M.Fenger,27,Denmark,68,70,HammarbyIF,3,Right,1,3,2,Normal,CB,13,73,179,51,50,51,51,56,54,64,62,67,64,44,32,65,64,34,46,59,64,62,58,68,71,65,61,68,54,76,72,79,27,68,65,41,44,33,67,64,69,67
7059,224876,M.Curado,23,Argentina,68,74,Crotone,5,Right,1,2,2,Normal,CB,2,74,176,48,43,41,42,47,43,59,56,67,59,29,27,72,56,36,29,33,28,41,49,55,59,39,71,49,61,71,63,80,28,71,65,31,31,47,61,67,68,62
7065,222830,F.Grillo,25,Argentina,68,72,G’_ztepeSK,8,Left,1,3,2,Normal,CB,26,71,172,51,53,55,53,53,56,59,62,66,63,48,33,67,55,43,63,38,39,31,57,71,74,70,64,67,32,90,74,74,36,68,64,44,53,48,53,66,66,65
7069,222576,Pleguezuelo,21,Spain,68,77,Arsenal,21,Right,1,4,3,Lean,CB,53,71,139,52,55,57,57,59,59,65,65,67,66,53,32,62,71,37,66,40,44,59,70,71,70,73,59,69,38,75,61,65,35,66,72,41,40,43,59,65,68,70
7076,233329,M.Villanueva,25,Venezuela,68,73,CFReusDeportiu,4,Left,1,3,2,Lean,CB,14,75,172,50,48,49,48,54,51,63,61,67,62,65,27,62,63,42,42,49,47,59,58,52,52,49,65,50,64,72,60,87,43,69,67,38,34,38,62,62,70,64
7086,217203,L.S’çnchez,31,Argentina,68,68,ClubAtl’©ticoAldosivi,5,Right,1,3,2,Normal,CB,16,75,187,44,39,37,37,43,39,57,52,66,56,34,28,72,43,33,40,36,29,38,43,36,30,33,68,33,56,31,49,90,22,66,65,27,29,47,50,70,72,68
7087,169843,B.Turner,29,England,68,68,BurtonAlbion,5,Left,1,3,2,Stocky,CB,6,76,201,46,42,40,41,48,43,60,55,67,58,25,37,74,48,24,40,29,27,54,51,38,55,30,62,32,31,61,70,83,29,74,67,32,27,26,60,66,66,69
7089,194163,J.Raitala,29,Finland,68,68,MontrealImpact,3,Left,1,3,2,Normal,CB,22,71,172,57,58,59,59,62,60,65,65,66,65,65,29,64,65,60,59,65,59,61,61,65,64,66,62,66,70,81,73,71,61,74,65,61,63,48,59,66,66,65
7119,171900,F.Sch’_nheim,31,Germany,68,68,1.FCUnionBerlin,11,Left,1,3,2,Normal,CB,34,75,203,59,59,59,59,61,61,65,65,67,65,69,39,63,65,49,58,67,60,59,63,64,75,53,64,48,73,55,70,87,54,71,62,55,59,57,64,67,67,64
7123,200574,KimWonIl,31,KoreaRepublic,68,68,JejuUnitedFC,3,Right,1,3,2,Normal,CB,37,73,170,44,42,44,43,46,45,57,59,66,62,58,33,69,48,33,26,40,34,31,35,60,65,79,66,64,34,88,66,74,40,66,68,33,52,43,55,68,70,67
7137,214401,H.Urrego,25,Colombia,68,72,IndependienteSantaFe,2,Right,1,2,2,Normal,CB,15,72,170,48,45,46,45,50,49,61,60,67,62,47,38,73,49,22,44,33,26,51,48,56,59,57,67,51,32,81,79,77,24,75,72,40,34,32,62,69,64,59
7144,200067,Z.Diallo,31,France,68,68,MontrealImpact,3,Right,1,3,2,Normal,CB,5,76,198,49,46,46,46,51,48,61,58,67,59,48,35,63,56,35,46,52,45,47,52,46,39,39,59,30,53,39,64,93,38,75,64,42,41,48,64,67,70,69
7157,140422,A.Baptiste,32,England,68,68,QueensParkRangers,4,Right,1,3,2,Normal,CB,15,71,163,54,54,54,54,55,55,61,61,67,62,57,29,68,60,25,55,27,17,48,62,63,55,63,65,69,57,81,54,80,40,67,68,55,48,34,57,67,63,64
7160,232582,W.Andrade,33,Argentina,68,68,Patronato,6,Right,1,2,2,Stocky,CB,2,75,190,44,39,36,38,43,38,58,52,67,55,24,28,68,54,20,31,20,22,48,45,42,46,39,65,40,57,76,44,85,22,70,67,24,20,30,62,70,68,61
7162,183686,M.deLuna,30,Mexico,68,68,Guadalajara,13,Right,1,2,2,Normal,CB,33,70,176,46,45,45,46,52,48,62,59,66,61,42,20,68,59,30,40,33,45,50,59,54,54,47,65,58,40,72,71,77,37,70,68,40,33,50,50,64,69,61
7164,140423,J.Buxton,33,England,68,68,BurtonAlbion,5,Right,1,2,2,Stocky,CB,3,71,183,46,42,38,42,49,42,61,53,66,56,30,33,70,57,30,23,19,20,56,48,39,46,44,63,45,66,82,59,80,15,78,64,29,48,45,60,65,66,63
7183,12940,E.Pogatetz,35,Austria,68,68,LASKLinz,3,Left,2,2,2,Lean,CB,4,75,198,44,39,37,40,47,40,60,53,66,55,33,26,65,66,24,29,22,23,49,38,33,32,32,58,48,48,60,61,91,36,81,62,43,23,45,63,67,69,62
7194,137359,C.Lepoint,33,Belgium,68,68,KVKortrijk,6,Right,1,3,2,Normal,CB,15,74,183,66,64,60,63,66,62,67,62,67,62,52,65,72,66,62,60,39,57,63,63,41,50,35,68,46,71,46,82,85,64,79,67,74,69,68,74,64,62,60
7229,169623,P.Hartley,30,England,68,68,Motherwell,3,Left,1,3,2,Stocky,CB,6,73,196,44,42,43,45,51,46,62,57,66,59,48,34,69,60,29,37,24,26,55,51,60,36,58,53,57,39,67,73,84,36,89,64,17,47,33,58,65,66,61
7233,193688,N.Backman,29,Sweden,68,68,AarhusGF,6,Right,1,3,2,Normal,CB,3,73,176,54,50,49,50,53,50,62,59,66,61,47,47,65,54,29,43,46,58,60,57,48,61,64,69,55,76,74,54,77,57,64,67,29,42,50,65,69,66,66
7248,203933,H.Lybohy,34,IvoryCoast,68,68,N’ÂmesOlympique,7,Left,1,3,2,Normal,CB,27,73,187,41,38,37,39,45,40,58,53,66,56,30,14,65,56,22,32,37,29,45,46,55,52,32,52,33,52,73,55,91,23,76,61,20,40,45,62,66,67,67
